Unnamed: 0,Unnamed: 1,Namn,För. Nr,Adress,Co Adress,Post Nr,Unnamed: 7,Postort,Kommun,Epostadress,Unnamed: 11,Hemsida,lat,lon,district,geocoding_confidence,geocoding_details,size_bucket,latitude,longitude,id
,,KF Velebit,4353.0,Box 22033,,40072,,GÖTEBORG,Göteborg,info@velebit.se,,http://www.velebit.se,,,,failed,Geocoding failed,medium,,,105
,,KIF Bosna Ljiljan,29934.0,Temperaturgatan 80,,41841,,GÖTEBORG,Göteborg,sejad.dz@gmail.com,, www.laget.se/BOSNAIFGBG/15160-start.html,57.7335078,11.8846269,,exact,Exact match: Temperaturgatan 80,medium,57.7335078,11.8846269,106
,,Knippla IK,8370.0,Box 76,,47513,,KÄLLÖ-KNIPPLA,Öckerö,fredrik.lindegren@volvocars.com; ulf@kik.nu,,www.kik.nu,,,,failed,Geocoding failed,medium,,,107
,,Kode IF,2590.0,Släbo 120,,44296,,KODE,Kungälv,kode.if@telia.com,,https://www.svenskalag.se/kodeif,,,,failed,Geocoding failed,medium,,,108
,,Kortedala IK,56005.0,Julaftonsgatan 58,,415 44,,Göteborg,Göteborg,kansli.kortedalaik@yahoo.com,,,57.7607173,12.0361007,,exact,Exact match: Julaftonsgatan 58,medium,57.7607173,12.0361007,109
,,Kungsladugårds BK,2656.0,Apelsingatan 4,,42654,,VÄSTRA FRÖLUNDA,Göteborg,info@kungsladugardsbk.se; marcus.angelin@kungsladugardsbk.se,,www.kungsladugardsbk.se,57.6554537,11.8818321,,exact,Exact match: Apelsingatan 4,medium,57.6554537,11.8818321,110
,,Kungälvs FF,24814.0,Box 397,,44211,,KUNGÄLV,Kungälv,info@kungalvsff.se; ordforande@kungalvsff.se,,kungalvsff.web.sportadmin.se,,,,failed,Geocoding failed,medium,,,111
,,Kviberg FF ,67165.0,Allhelgonagatan 19,Mohamed Abdiaziz Adan,41545,,Göteborg,Göteborg,vladimir.karanovic@icloud.com,,https://www.svenskalag.se/kvibergff,57.7618758,12.0380662,,exact,Exact match: Allhelgonagatan 19,medium,57.7618758,12.0380662,112
,,Kållered SK,2687.0,Tulebovägen 17,,42834,,KÅLLERED,Mölndal,fotboll@kalleredsk.se; planbokningksk@gmail.com,,http://www.kalleredsk.se,57.740240081818186,11.942287263636365,,fuzzy,Street midpoint: TuvevÄgen (11 addresses),large,57.740240081818186,11.942287263636365,113
,,Kärra Dragons FC,52050.0,Båtsman Lustigs gata 64,Therese Källberg,42257,,HisingsBacka,Göteborg,varberg2000@hotmail.com; matijevicdarko@hotmail.com,,,57.759475,11.9618932,,exact,Exact match: BÅtsman Lustigs Gata 64,medium,57.759475,11.9618932,114
,,Kärra KIF,2697.0,Burmans gata 3,,425 33,,HISINGS KÄRRA,Göteborg,info@karrakif.se,,www.karrakif.se,57.7984282,11.9875589,,exact,Exact match: Burmans Gata 3,medium,57.7984282,11.9875589,115
,,Landala IF,33221.0,Gibraltargatan 37,,41279,,GÖTEBORG,Göteborg,landalaif@gmail.com,,www.landalaif.com,57.6823777,11.9843687,,exact,Exact match: Gibraltargatan 37,large,57.6823777,11.9843687,116
,,Landvetter IF 2003,38193.0,Tahultsvägen 60,,438 35,,LANDVETTER,Härryda,info@landvetterif.se ;jonas.andersson@landvetterif.se,,http://www.landvetterif.se,57.71304308181818,11.769237054545457,,fuzzy,Street midpoint: AmhultsvÄgen (11 addresses),medium,57.71304308181818,11.769237054545457,117
,,Landvetter IS,2727.0,Tahultsvägen 60,,438 35,,LANDVETTER,Härryda,landvetter.is@telia.com,,http://landvetteris.com,57.71304308181818,11.769237054545457,,fuzzy,Street midpoint: AmhultsvÄgen (11 addresses),medium,57.71304308181818,11.769237054545457,118
,,Lekstorps IF,2748.0,Kumminvägen 1,Cathrine Svensson,443 70,,GRÅBO,Lerum,kansli@lekstorpsif.se,,www.lekstorpsif.se,57.6914198,11.976667,,fuzzy,Street midpoint: KemivÄgen (9 addresses),large,57.6914198,11.976667,119
,,Lerums IS,2755.0,Idrottsvägen 2,,443 31,,LERUM,Lerum,ninos@lerumsis.se; ,,www.lerumsis.se,57.7882203,12.0963704,,fuzzy,Street midpoint: VÄnderotsvÄgen (1 addresses),medium,57.7882203,12.0963704,120
,,Lindholmens BK,8381.0,Björcksgatan 52 C,Larry Hedlund,416 52,,GÖTEBORG,Göteborg,larry.hedlund@infranord.se,,,57.717286023387096,12.02848200080645,,exact,Street midpoint: BjÖrcksgatan (124 addresses),medium,57.717286023387096,12.02848200080645,121
,,Lindome GIF,2798.0,Hällesåkersvägen 5,,43791,,LINDOME,Mölndal,info@lindomegif.se,,www.lindomegif.se,57.8065099,12.1811994,,fuzzy,Fuzzy match: FÄllesÅsvÄgen 5 (score: 83),medium,57.8065099,12.1811994,122
,,Lundby IF,40097.0,Munkedalsgatan 10,,41716,,GÖTEBORG,Göteborg,info@lundbyif.se,,www.lundbyif.se,57.7192736,11.9206361,,exact,Exact match: Munkedalsgatan 10,medium,57.7192736,11.9206361,123
,,Lunden Överås BK,2866.0,Wrangelsgatan 5 c,Egon Hansen,416 62,,GÖTEBORG,Göteborg,kansli@lundenobk.se,,www.lundenobk.se,57.71214669750001,12.00269394,,exact,Street midpoint: Wrangelsgatan (40 addresses),large,57.71214669750001,12.00269394,124
,,Låtta Marta IF,44620.0,Ängskogsvägen 10 A,Anna Johansson,41743,,GÖTEBORG,Göteborg,l8marta@hotmail.se,,www.svenskalag.se/l8martaif,57.75458340769232,11.93186155128205,,fuzzy,Street midpoint: ÀngskogsvÄgen (39 addresses),medium,57.75458340769232,11.93186155128205,125
,,Marockanska Göteborg FF,66782.0,Lilliegatan 10,Amir Berzouami,41657,,Göteborg,,marockanskagoteborgff@gmail.com,,svenskalag.se/marockanskagoteborgff,57.7117635,12.0161054,,exact,Exact match: Lilliegatan 10,large,57.7117635,12.0161054,126
,,Marstrands BK,54952.0,Täljstensgatan 7,,44254,,Ytterby,Kungälv,,,,57.744129775000005,11.9574511625,,exact,Street midpoint: TÄljstensgatan (8 addresses),large,57.744129775000005,11.9574511625,127
,,Marstrands IS,53369.0,Nygatan 40,,44266,,Marstrand,Kungälv,,,,57.66573686111112,11.86394465,,fuzzy,Street midpoint: Bygatan (36 addresses),medium,57.66573686111112,11.86394465,128
,,Masthuggets BK,2981.0,Fjällgatan 27,,41317,,GÖTEBORG,Göteborg,info@masthugget.com,,http://www.masthugget.com,57.6953966,11.9396357,,exact,Exact match: FjÄllgatan 27,large,57.6953966,11.9396357,129
,,Menisken IF,8392.0,Radiofyrsgatan 5,Johan Anäng,42133,,Västra Frölunda,Göteborg,johan@teamtastic.se,,http://www.menisken.se,57.6539102,11.9280375,,exact,Exact match: Radiofyrsgatan 5,medium,57.6539102,11.9280375,130
,,Mossens BK,8393.0,Gibraltargatan 37,,41279,,GÖTEBORG,Göteborg,kansli@mossensbk.se,,http://www.mossensbk.se,57.6823777,11.9843687,,exact,Exact match: Gibraltargatan 37,large,57.6823777,11.9843687,131
,,Mölndal United FC,56105.0,Stenbrogatan 3E,,43162,,Mölndal,Mölndal,infmufc@gmail.com,,,57.70891521111111,11.929652111111112,,fuzzy,Street midpoint: Stenbocksgatan (9 addresses),large,57.70891521111111,11.929652111111112,132
,,Mölnlycke IF,3070.0,Box 1,,43521,,MÖLNLYCKE,Härryda,kansli@molnlyckeif.se; anders.dahlstedt@molnlyckeif.se,,www.molnlyckeif.se,,,,failed,Geocoding failed,medium,,,133
,,Mölnlycke IS Ungdom ,66925.0,Azaleavägen 4,Daniel Berntsson,43537,,Mölnlycke,Härryda,daniel.Berntsson78@gmail.com,,https://www.laget.se/MolnlyckeIS-Ungdom,57.711785125000006,11.899042608333332,,fuzzy,Street midpoint: AlevÄgen (12 addresses),medium,57.711785125000006,11.899042608333332,134
,,Neutrala UF,40918.0,flygvädersgatan 8,,41838,,GÖTEBORG,Göteborg,moefarah13@gmail.com; aliyare.gaani@hotmail.com; neutrala97@gmail.com,,www.laget.se/NEUTRALA,57.7249984,11.8870472,,exact,Exact match: FlygvÄdersgatan 8,medium,57.7249984,11.8870472,135
,,Nigerian Family KF,51919.0,övre kaserngåden 6,,41527,,göteborg,Göteborg,"info@nfagoteborg.com, omozid@yahoo.com",,,57.7367506,12.0304551,,fuzzy,Fuzzy match: Àvre KaserngÅrden 6 (score: 88),medium,57.7367506,12.0304551,136
,,Nokhba FC ,56564.0,Paprikagatan 9,Samir Albtish,42447,,Angered,,shivan.rashid@my.com,,,57.8195764,12.0317622,,exact,Exact match: Paprikagatan 9,medium,57.8195764,12.0317622,137
,,Nol IK,3115.0,Box 10,,44921,,NÖDINGE,Ale,nolik1928@live.se,,https://www.laget.se/nolik,,,,failed,Geocoding failed,medium,,,138
,,North Kings FC ,56446.0,,,,,,Göteborg,kenzofficial@outlook.com,,,,,,failed,Geocoding failed,medium,,,139
,,NorthLion FC,66836.0,Munkebäcksgatan 14 c,,41653,,Göteborg,Göteborg,daniel.olsson@fjaraskupan.se,,,57.71516225949368,12.024604520886076,,exact,Street midpoint: MunkebÄcksgatan (158 addresses),medium,57.71516225949368,12.024604520886076,140
,,Näsets SK,3220.0,Bergsätersgatan 7,,42166,,VÄSTRA FRÖLUNDA,Göteborg,kansliet@nasetssk.se; foreningsutvecklare@nasetssk.se,,http://www.nasetssk.se,57.6320864,11.9006232,,exact,Exact match: BergsÄtersgatan 7,medium,57.6320864,11.9006232,141
,,Nödinge SK Fotboll,3234.0,Box 17,,44921,,NÖDINGE,Ale,nskfotboll@hotmail.se,,http://www.laget.se/nskfotboll,,,,failed,Geocoding failed,medium,,,142
,,Partille IF FK,45375.0,Nygårsvägen 1,Partille IF FK,43332,,Partille,Partille,ordforande@partilleif.se,,www.partilleif.se,57.6641977,11.8810872,,fuzzy,Fuzzy match: NyÅrsvÄgen 1 (score: 95),medium,57.6641977,11.8810872,143
,,Poseidon FC,66870.0,Bögatan 50B,,41272,,Göteborg,Göteborg,robert@poseidonfc.se,,www.poseidonfc.se,57.701556,12.0156357,,exact,Exact match: BÖgatan 50B,large,57.701556,12.0156357,144
,,Proletären FF,3314.0,Åkereds Skolväg 22,,42166,,VÄSTRA FRÖLUNDA,Göteborg,kontakt@proletarenff.se,,proletarenff.se,57.6343995,11.9028735,,fuzzy,Fuzzy match: Àkereds SkolvÄg 22 (score: 90),medium,57.6343995,11.9028735,145
,,Pushers BK,8404.0,Nordhemsgatan 69 A,Leif Fransson,41309,,GÖTEBORG,Göteborg,Pushers48@gmail.com; Nicholas.Singleton@goteborgsregionen.se ,,https://www.laget.se/PUSHERSBK,57.696163933613455,11.95007534201681,,exact,Street midpoint: Nordhemsgatan (119 addresses),large,57.696163933613455,11.95007534201681,146
,,Qviding FIF,24330.0,Härlanda Park 6B,,416 52,,GÖTEBORG,Göteborg,kansli@qviding.se,,www.qviding.se,57.7162171,12.0171829,,exact,Exact match: HÄrlanda Park 6B,large,57.7162171,12.0171829,147
,,Rampen IK,52444.0,Vantgatan 3B,Kaisa Gunnedal,414 56,,Göteborg,Mölndal,info@rampen.co,,www.rampen.co,57.6897807,11.9260452,,exact,Exact match: Vantgatan 3B,medium,57.6897807,11.9260452,148
,,Real Maskin BK,22849.0,Nymånegatan 5,Anders Bengtsson,41508,,GÖTEBORG,Göteborg,real.maskin@gmail.com,,www.realmaskin.se,57.744047,12.02762,,exact,Exact match: NymÅnegatan 5,medium,57.744047,12.02762,149
,,Riyyo Atletic FC ,55995.0,Kryddhyllan 23,,42439,,Angered,Göteborg,Riyyoatleticfc@gmail.com,,,57.8033521,12.0240109,,exact,Exact match: Kryddhyllan 23,medium,57.8033521,12.0240109,150
,,Romelanda UF,3387.0,Romevi Hög 130,,44292,,ROMELANDA,Kungälv,kansliet@ruf.nu,,www.ruf.nu,,,,failed,Geocoding failed,medium,,,151
,,Rödbo IF,8411.0,Lotsgatan 12,Lars-Ivan Claesson,414 58,,Göteborg,Kungälv,Ian_cla2@yahoo.se,,www.laget.se/rodboif,57.6961863,11.9272519,,exact,Exact match: Lotsgatan 12,medium,57.6961863,11.9272519,152
,,Rörö IF,3474.0,"Lennart Zackrisson, Box 82",,47518,,RÖRÖ,Öckerö,lennart125@hotmail.com,,,,,,failed,Geocoding failed,medium,,,153
,,Salaam IF ,67052.0,Långströmsgatan 19C,,41870,,Göteborg,Göteborg,ali.al-shimary@outlook.com,,www.salaamif.se,57.72473897263158,11.90108415052632,,exact,Street midpoint: LÅngstrÖmsgatan (95 addresses),medium,57.72473897263158,11.90108415052632,154
,,Sandarna BK,3500.0,Ostindiegatan 25,,41452,,GÖTEBORG,Göteborg,sandarna@hotmail.se,,https://sandarnabk.sportadmin.se/,57.6861747,11.9126746,,exact,Exact match: Ostindiegatan 25,medium,57.6861747,11.9126746,155
,,Serbiska KIF Semberija Göteborg,30924.0,Kalendervägen 2,,41534,,GÖTEBORG,Göteborg,zoran_semberija@hotmail.se,,www.laget.se/semberija,57.7472476,12.0311111,,exact,Exact match: KalendervÄgen 2,medium,57.7472476,12.0311111,156
,,Serbiska KoIF Kozara,8374.0,Dagjämningsgatan 1,,41536,,Göteborg,Göteborg,kozara.goteborg@hotmail.com; zoran.vajagic@hotmail.com,,www.laget.se/kozara,57.7511578,12.0235886,,exact,Exact match: DagjÄmningsgatan 1,medium,57.7511578,12.0235886,157
,,SF Sindjelic,3569.0,Box 13011,,40251,,GÖTEBORG,Göteborg,sfsindjelic@gmail.com,,http://www.sindjelic.se,,,,failed,Geocoding failed,medium,,,158
,,SG Ruddalen IF,1771.0,Musikvägen 61,,42139,,Västra Frölunda,Göteborg,kansli@sgruddalen.se,,www.sgruddalen.se,57.6630738,11.9117081,,exact,Exact match: MusikvÄgen 61,medium,57.6630738,11.9117081,159
,,Sjövalla FK,3586.0,Finnsjövägen 12,,435 41,,MÖLNLYCKE,Härryda,sjovallafkfotboll@gmail.com,,https://www.laget.se/SjovallaFKfotboll,57.63240438442623,11.961185741393445,,fuzzy,Street midpoint: SisjÖvÄgen (244 addresses),medium,57.63240438442623,11.961185741393445,160
,,SK Argo,8295.0,Ekedalsgatan 26,,41468,,GÖTEBORG,Göteborg,info@skargo.se; petersjogren76@hotmail.com; mande257@volvocars.com,,http://skargo.se,57.6870139,11.9318664,,exact,Exact match: Ekedalsgatan 26,medium,57.6870139,11.9318664,161
,,Skogens IF,3623.0,Johan Alins gata 2,,41476,,GÖTEBORG,Göteborg,skogens.if@gmail.com,,http://www.laget.se/skogensif,57.6758877,11.936221283333332,,exact,Street midpoint: Johan Alins Gata (12 addresses),medium,57.6758877,11.936221283333332,162
,,Solväders FC,43467.0,Klarvädersgatan 1,Hector Valeria,41839,,Göteborg,Göteborg,solvaders97@gmail.com ,,Facebook sida: Biskopsgarden E Vi,57.7229773,11.8913202,,exact,Exact match: KlarvÄdersgatan 1,medium,57.7229773,11.8913202,163
,,Solängens BK,8421.0,Bäckstensgatan 15,,43149,,MÖLNDAL,Mölndal,kansli@solangensbk.se,,www.laget.se/Solangensbk,57.6597376,11.8908908,,fuzzy,Street midpoint: BÄrnstensgatan (1 addresses),medium,57.6597376,11.8908908,164
,,Stenkullen GoIK,3782.0,Granitvägen 3,,44360,,Stenkullen,Lerum,info@stenkullengoik.com,,http://www.stenkullengoik.com,57.6311304,11.9475751,,exact,Exact match: GranitvÄgen 3,medium,57.6311304,11.9475751,165
,,Styrsö BK,3884.0,Brattenskogen 11,Dragan Janicijevic,43084,,Styrsö,Göteborg,info@styrsobk.se,,http://www.styrsobk.se,57.6154611,11.7906686,,exact,Exact match: Brattenskogen 11,medium,57.6154611,11.7906686,166
,,Surte IS FK,42009.0,Box 2050,,445 02 ,,SURTE,Ale,surtebohus@gmail.com,,http://www.laget.se/surteis,,,,failed,Geocoding failed,medium,,,167
,,Swed-Som IF ,67002.0,Bergsjödalen 57,,41561,,Göteborg,Göteborg,ssv_98@hotmail.com,,,57.7593847,12.078642,,exact,Exact match: BergsjÖdalen 57,medium,57.7593847,12.078642,168
,,Svensk-Somaliska FS,51184.0,Fjäderhavsgatan 105,Nagy,424 66,,Angered,Göteborg,geza@interkultura.net; mfmsam@hotmail.com,,,57.7970326,12.0549887,,fuzzy,Fuzzy match: FjÄderharvsgatan 105 (score: 97),medium,57.7970326,12.0549887,169
,,Syrianska Göteborg FC,44089.0,Fotbollsvägen 48,,42433,,Angered,Göteborg,gabriel.yildirim@hotmail.com,,www.syrianskagoteborg.se,57.7685843,12.0291103,,exact,Exact match: FotbollsvÄgen 48,large,57.7685843,12.0291103,170
,,Säve SK,3972.0,Tåfjällsvägen 15,,42371,,SÄVE,Göteborg,info@savesk.se,,www.laget.se/savesk,57.8086097,11.9167788,,exact,Exact match: TÅfjÄllsvÄgen 15,medium,57.8086097,11.9167788,171
,,Sävedalens IF,8426.0,Hultvägen 2,,433 64,,SÄVEDALEN,Partille,kansli@savedalensif.se; kassor@savedalensif.se,,www.savedalensif.se,57.7872778,12.1017575,,fuzzy,Fuzzy match: HultavÄgen 2 (score: 95),medium,57.7872778,12.1017575,172
,,Tollereds IF,4099.0,Gamla Sågvägen 6,Thomas Balmér,44850,,TOLLERED,Lerum,info@tolleredsif.se,,http://www.tolleredsif.se,57.667136,11.8607742,,fuzzy,Fuzzy match: Gamla VÄgen 6 (score: 88),medium,57.667136,11.8607742,173
,,Torslanda FC,40286.0,Torslanda Idrottsväg 17,Torslanda IK,42332,,TORSLANDA,Göteborg,patrik.falk@torslandaik.com,,www.torslandaik.com,57.7179509,11.7587758,,exact,Exact match: Torslanda IdrottsvÄg 17,medium,57.7179509,11.7587758,174
,,Torslanda IK,4121.0,Torslanda Idrottsväg 17,,423 32,,TORSLANDA,Göteborg,kansli@torslandaik.com,,http://www.torslandaik.com,57.7179509,11.7587758,,exact,Exact match: Torslanda IdrottsvÄg 17,medium,57.7179509,11.7587758,175
,,Tuve BK ,54682.0,Lillhagsvägen 291,C/O Jonas Sand,42250,,Hisings Backa,Göteborg,styrelsetuvebk@gmail.com,,,57.7646018,11.9505955,,exact,Exact match: LillhagsvÄgen 291,medium,57.7646018,11.9505955,176
,,Tynnered FC,52395.0,Safirgatan 13,Ibrahim Maruvge,421 48,,Västra Frölunda,Göteborg,tynneredfc@hotmail.com,,,57.6455098,11.9044775,,exact,Exact match: Safirgatan 13,medium,57.6455098,11.9044775,177
,,Utbynäs FF,38984.0,Lemmingsgatan 5,Utbynäs SK,41507,,GÖTEBORG,Göteborg,christer.oxien@utbynassk.se,,www.utbynassk.se,57.7349916,12.0536182,,exact,Exact match: Lemmingsgatan 5,medium,57.7349916,12.0536182,178
,,Utbynäs SK,4292.0,Utbynäs SK,,415 72,,GÖTEBORG,Göteborg,kansli-fb@utbynassk.se,,www.utbynassk.se,57.73375724,12.04427599,,fuzzy,Street midpoint: UtbynÄsstigen (10 addresses),medium,57.73375724,12.04427599,179
,,Utsiktens BK,4293.0,Musikvägen 55,Ruddalens IP,42139,,VÄSTRA FRÖLUNDA,Göteborg,info@utsiktensbk.se; henrik.frendin@utsiktensbk.se; tompas296@gmail.com,,http://www.utsiktensbk.se,57.6632505,11.9105337,,exact,Exact match: MusikvÄgen 55,medium,57.6632505,11.9105337,180
,,Utsiktens Elitfotboll AB,94293.0,Musikvägen 55,Ruddalens IP,42139,,Västra Frölunda,Göteborg,info@utsiktensbk.se,,http://www.utsiktensbk.se,57.6632505,11.9105337,,exact,Exact match: MusikvÄgen 55,medium,57.6632505,11.9105337,181
,,Valhall BK,66992.0,Skolvägen 3,Magnus Hall,44250,,Ytterby,Göteborg,helge86@hotmail.com,,,57.8049311,11.981176,,fuzzy,Fuzzy match: SkovelvÄgen 3 (score: 90),medium,57.8049311,11.981176,182
,,Valhalla FC,55902.0,Tryggvegatan 6,,41727,,Göteborg ,Göteborg,Valhallaafc@gmail.com,,Svenskalag.se/gwfc-herr,57.7346765,11.9151525,,exact,Exact match: Tryggvegatan 6,medium,57.7346765,11.9151525,183
,,Vatra KIF,53618.0,Fjäderharvsgatan 24,Behar Tahiri,424 66,,Angered,Göteborg,tahiri_behar_@hotmail.com,,,57.7978917,12.0566193,,exact,Exact match: FjÄderharvsgatan 24,medium,57.7978917,12.0566193,184
,,WIP Idrottsförening,55691.0,Kvarnkullevägen 2D,Camilla Augustin,42333,,Torslanda,Göteborg,fredrik@padel-academy.se,,,57.7232312,11.7706393,,exact,Exact match: KvarnkullevÄgen 2D,medium,57.7232312,11.7706393,185
,,Vitalis Göteborg FF,66909.0,Ebbe Lieberathsgatan 31C,,41282,,Göteborg,Göteborg,atilasamkhanzadeh@gmail.com,,,57.679849108333336,12.000955608333332,,exact,Street midpoint: Ebbe Lieberathsgatan (48 addresses),large,57.679849108333336,12.000955608333332,186
,,Vrångö IF,8440.0,Box 49,,43083,,VRÅNGÖ,Göteborg,fribergjohan0@gmail.com; vrangoif@hotmail.com; claes.friberg@icloud.com,,www.laget.se/vrangoif,,,,failed,Geocoding failed,medium,,,187
,,Västkurd BK,52378.0,Vintervädersgatan 15,Yakup Sari,41836,,Göteborg,Göteborg,Nicolas@travel4you.se; vastkurdbk@gmail.com; vurre74@hotmail.com; dendelen@gmail.com; ulasaltuntas@gmail.com,,www.vastkurdbk.se,57.7251754,11.8959354,,exact,Exact match: VintervÄdersgatan 15,medium,57.7251754,11.8959354,188
,,Västra Frölunda IF,4526.0,Klubbvägen 19,,421 47,,VÄSTRA FRÖLUNDA,Göteborg,info@vastrafrolunda.com,,http://www.vastrafrolunda.com,57.6429523,11.9197916,,exact,Exact match: KlubbvÄgen 19,large,57.6429523,11.9197916,189
,,Youth FC,66740.0,BOX 2002,,43302,,SÄVEDALEN ,Partille,mats@majaab.se,,,,,,failed,Geocoding failed,medium,,,190
,,Ytterby IS,4568.0,Box 2134,,442 02,,Ytterby ,Kungälv,kansli@ytterbyis.nu,,http://www.ytterbyis.nu,,,,failed,Geocoding failed,medium,,,191
,,Älvsborg FF,8326.0,Box 5005,,42674,,VÄSTRA FRÖLUNDA,Göteborg,kansli@alvsborgff.se,,http://www.alvsborgff.se,,,,failed,Geocoding failed,medium,,,192
,,Älvängens IK,4648.0,Hövägen 23,,446 32,,ÄLVÄNGEN,Ale,Alvangens.Idrottsklubb@outlook.com,,www.laget.se/alvangensik,57.610585750000006,11.9343957,,fuzzy,Street midpoint: HÖjdvÄgen (12 addresses),medium,57.610585750000006,11.9343957,193
,,Öckerö IF,4663.0,Norgårdsvägen 89,,475 31,,ÖCKERÖ,Öckerö,malin.andersson@ockeroif.se,,http://www.ockeroif.se,57.64303391562501,11.938094703125,,fuzzy,Street midpoint: NergÅrdsvÄgen (32 addresses),medium,57.64303391562501,11.938094703125,194
,,Öjersjö IF,31259.0,Tallmossevägen 9,,43350,,ÖJERSJÖ,Partille,kansli@ojersjoif.se,,http://www.ojersjoif.se,57.628851866666665,11.960074396296296,,fuzzy,Street midpoint: LÖvmossevÄgen (27 addresses),medium,57.628851866666665,11.960074396296296,195
,,Önnereds IK,4679.0,Box 113,,421 21,,VÄSTRA FRÖLUNDA,Göteborg,onneredsik@hotmail.com,, www.svenskalag.se/onneredsik,,,,failed,Geocoding failed,medium,,,196
,,Örgryte IS Fotboll,51822.0,Korndalsvägen 2,,412 76,,Göteborg,Göteborg,andreas.karlsson@oisfotboll.se; max.pahlman@oisfotboll.se,,www.oisfotboll.se,57.817867033333336,11.884779833333337,,fuzzy,Street midpoint: KornhallsvÄgen (3 addresses),large,57.817867033333336,11.884779833333337,197
,,Ösets BK,8444.0,Svanebäcksgatan 16,,41471,,GÖTEBORG,Göteborg,oset.kassor@gmail.com;bejo52@hotmail.com,,www.svenskalag.se/osetsbk,57.6871967,11.9185271,,exact,Exact match: SvanebÄcksgatan 16,medium,57.6871967,11.9185271,198
,,,,,,,,,,,,,,,,failed,Geocoding failed,medium,,,199
,,,,,,,,,,,198 föreningar,,,,,failed,Geocoding failed,medium,,,200
