Företagsnamn,Postadress,Omsättning (tkr),Anställda,År
Monitor Larm & Bevakning i Göteborg AB,411 05 Göteborg,45093,21,2024
Foodmarket i Torslanda AB,417 55 Göteborg,45046,23,2024
KRAHN Specialty Fluids AB,422 46 Hisings Backa,45043,5,2023
Hotel Flora AB,411 17 Göteborg,45012,20,2023
Hantverkarhuset Göteborg AB,421 32 Västra Frölunda,44980,11,2024
Zooma Agency AB,411 26 Göteborg,44976,24,2024
Castra Väst Systemutveckling AB,412 50 Göteborg,44947,25,2024
Danneviks Handel AB,411 03 Göteborg,44942,16,2023
Wasa Bygg AB,415 02 Göteborg,44924,14,2023
Effkå Livsmedel AB,414 69 Göteborg,44913,13,2024
Industrial Engineering West Group AB,414 51 Göteborg,44883,0,2024
Allround Lack Göteborg AB,417 29 Göteborg,44874,19,2024
Knowit Insight Väst AB,411 04 Göteborg,44844,27,2023
Bozzini i Göteborg AB,421 30 Västra Frölunda,44834,5,2023
Hedin Sport Car AB,417 05 Göteborg,44820,5,2023
Eriksson Bilcenter AB,418 36 Göteborg,44810,1,2023
Villa Belparc AB,413 11 Göteborg,44746,38,2023
Sebratec AB,411 26 Göteborg,44675,48,2023
Brekke & Strand Akustik AB,416 63 Göteborg,44671,31,2023
Nötkärnan Kortedala Vårdcentral och BVC AB,415 13 Göteborg,44648,22,2023
Boomr Group AB,412 52 Göteborg,44628,26,2023
UNDEKO AB,422 44 Hisings Backa,44624,8,2024
QSR Sales AB,421 31 Västra Frölunda,44598,5,2023
Adact Revisorer & Konsulter AB,411 03 Göteborg,44567,28,2023
Hawk PropCo (Sweden) AB,Göteborg,44484,0,2023
G.M.H. Pizzeria AB,Göteborg,44453,37,2023
Omnia Digital Workplace AB,411 20 Göteborg,44431,25,2023
Aktiebolaget Sigrid Rudebecks Skola,411 28 Göteborg,44430,38,2024
PharmaLex Sweden AB,412 63 Göteborg,44356,15,2024
kok i tot sos AB,411 36 Göteborg,44354,38,2024
Aktiebolaget Robert Lidbeck & Co,422 46 Hisings Backa,44299,9,2023
Gomero Nordic AB,411 04 Göteborg,44264,15,2023
Actemium Engineering AB,417 05 Göteborg,44238,26,2023
VFS International AB,418 79 Göteborg,44211,6,2023
Wallenstam Lägenheter AB,Göteborg,44179,0,2023
Lind Edlund Kenamets Intellectual Property AB,411 36 Göteborg,44153,11,2023
Jodgo AB,413 27 Göteborg,44150,0,2023
Freemelt AB,414 51 Göteborg,44148,32,2023
AB Tingstad Rörinstallation,422 46 Hisings Backa,44134,23,2024
AB Svetsteknik,436 32 Askim,44106,12,2023
QSEC Sverige AB,436 32 Askim,44073,38,2023
Sector Alarm Försäljnings AB,412 50 Göteborg,43977,82,2023
Doorly AB,411 36 Göteborg,43974,2,2024
Creativ Company Sverige AB,423 37 Torslanda,43960,7,2024
deugro (Sweden) AB,412 63 Göteborg,43946,5,2023
Bilpartners i väst AB,416 74 Göteborg,43912,3,2024
Åkes Äkta Hönökakor AB,423 34 Torslanda,43906,23,2024
Adonia Omsorg AB,417 07 Göteborg,43877,34,2023
MOORE KLN AB,411 04 Göteborg,43870,25,2023
